Model,RMSE,R²,CV_RMSE
Linear Regression,151.45550354259422,-0.08964464099818481,131.20506849297902
Ridge Regression,151.457670732085,-0.0896758248542302,131.167258343941
Random Forest,152.6125321958341,-0.10635668812441978,138.17026762356463
Gradient Boosting,167.05681224492403,-0.3256935670373635,152.20321565802726
